id,video_url,New URL,Status
eW3JN-IaTuqJUnPkrg_ysw,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707974883530-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
bNvj2jGlRtigLDSeoPMGlA,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707974777746-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
ZX-iKlRZTFuvMMETlDWasg,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707974663996-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
Ghg70w40SJ-DziwnxJtXbQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707974524001-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
HD8jSl5IQeqW4rWVOJo36g,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707973533354-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
EuEOdUdrTAO8W7wjgPhxCQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707973353491-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
eNWFZq3cRDKArYhO6zXhCA,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707972391922-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
b_2PjP0tRcqkWAxaloMlww,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707971481906-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
cezGDWJaTTO4mdaEPogFTg,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707971128788-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
csk6-HnCQfGCyHhcc3b4zw,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707970897656-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
QGIOGjEGTfilRzm9LzV8Ug,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707916349484-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
blYuKW3ITNeB1GNJxwR2oQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707916215492-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
dYqQLXMMRSaq2VbYxktGpQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707915664162-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
NplmuE0UQ5eqUiD2eon58A,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707915354578-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
CPvEIH2rShmXjCszd_qqTQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707915185427-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
K4z2FpOFQ5q5P5yn-_MWTw,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707914809840-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
CFLkbBLhRmmUWKo8rqIe8g,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707914639080-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
MuYzk-QvS62YmSh8lPB6ow,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707914345780-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
Mq_HoTkBS2-n28kIRAeZHA,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707906924316-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
Aap1shr4TEefjOb1o4qUOg,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707906770997-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
G-EQcmKNQqedm3MbOdLwOA,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707906594569-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
O5B9Eb9oQCCkqIUQ6BSoIw,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707906424965-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
W9J0aDTdQoWZh6FfDIkkVg,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707906353393-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
G_scPie8QqmK12znPhQ0JQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707906273507-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
L3KwFKmhRM2Okq9MCqahhg,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707906193721-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
FBigvGHtSyWbTgUDj7Px2g,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707904449591-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
AyaIP-1QTB2pMh-DCGy1_w,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707904384328-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
bESsCr3kSkmub1ZP83wdZQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707904275886-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
IvFIzf7bT4mqCkRkL6mczg,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707904194590-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
PVrQNi2QQmyDHH033OWs5g,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707890634135-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
QITPBL3bRxuYyjHyQWuTEA,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707890474306-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
M8ETh0M4ThG2i03Fp8xNGg,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707890337412-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
Yn1ngvlYS5aMU7TAmphTug,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707889925513-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
BoPm0z1UTVaihih0PwPXEQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707889017351-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
af0UzI7HRlqsW6fYjnB-JQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707888033769-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
HDApFge1SUK5KEODkiGTrA,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707887831854-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
bqbzL5-jRNetn8mKdQVfYg,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707887567690-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
NsWLT_94RxKd7TtzyyFbTw,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707886864996-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
Z1Byn6ZlROCLi7KwScmjxQ,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707886523176-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
EZPrTc9TQwqeQTDbDKvnyw,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707886243590-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
Kr3orJB9QnS850fWpAg8CA,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707886032464-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
dY1njHV5RNeOJ3IlB_9Eog,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707885928799-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
AIMq3oMrRqe3iOfjnimPvg,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707885770094-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
MGrQmHJFQymngjmQqhMYCA,https://video-cdn.fuze.us/gHI55KpGQbWVqTjAfBleRCXHnlm2/video-1707885640098-gHI55KpGQbWVqTjAfBleRCXHnlm2.mp4,,Pending
MKW5WmynSAy-4JKi2hfo5g,https://video-cdn.fuze.us/RUynwtzUrzNT7A0r6SPmMt38uhD3/video-1707232690873-RUynwtzUrzNT7A0r6SPmMt38uhD3.mp4,,Pending
BBw-kI3xR5GRdxZRCvlFlA,https://video-cdn.fuze.us/RUynwtzUrzNT7A0r6SPmMt38uhD3/video-1707210296728-RUynwtzUrzNT7A0r6SPmMt38uhD3.mp4,,Pending
